#{"t_start": 1652097607.303306, "env_id": "LunarLander-v2"}
r,l,t
-93.835115,84,0.036711
-110.896293,97,0.062496
-188.641328,155,0.107915
-96.235521,108,0.132718
-359.660031,106,0.172302
-104.531496,85,0.20554
-150.563581,73,0.232533
-86.360526,122,0.277325
-424.653708,120,0.342018
-270.389311,106,0.502224
-350.511649,87,0.52896
-396.309395,99,0.571087
-126.867252,106,0.626321
-91.503345,58,0.654212
-68.051168,143,0.702455
-322.866343,106,0.745471
-207.097073,143,0.797851
-216.779778,122,0.838943
-150.812989,112,0.89387
-438.402993,93,0.922311
-278.581356,99,0.961237
-133.136268,106,0.985032
-131.707733,110,1.011077
-157.080796,95,1.033016
-175.204141,118,1.082692
-167.089637,111,1.133056
-460.485489,104,1.157814
-69.494183,62,1.179278
-203.919213,92,1.251337
-111.131378,88,1.275256
-384.2685,95,1.304563
36.716403,90,1.341493
-171.529175,154,1.430268
-121.746936,60,1.454675
-299.918749,98,1.505851
-123.940584,150,1.542311
-301.637,82,1.5727
-100.167631,103,1.628426
-206.011868,113,1.736619
-163.19632,116,1.793485
-122.951869,90,1.829965
-100.312487,92,1.853662
-237.917652,106,1.885703
-257.774531,96,1.916552
-134.017236,97,1.946447
-254.351156,93,1.984308
-276.396477,91,2.035432
-430.873398,88,2.066812
-380.347873,102,2.166461
-58.280978,85,2.206921
-201.25319,118,2.256211
-113.63543,74,2.284184
-252.154711,103,2.320774
-272.024536,109,2.356754
-145.53044,74,2.380546
-144.273866,80,2.399267
-300.836425,81,2.426422
-134.622914,76,2.458175
-92.300295,100,2.496608
-440.783501,111,2.56635
-340.781655,89,2.600396
-88.861808,61,2.620494
-58.170016,83,2.64646
-106.80687,146,2.695978
-114.448104,71,2.724739
-109.740099,121,2.760244
-132.804772,80,2.780485
-98.49784,67,2.797782
-96.081142,91,2.826437
-287.303234,138,2.872278
-447.184351,116,2.941284
-276.339346,107,2.972317
-238.270879,68,2.997094
-165.040774,84,3.026501
-83.940555,72,3.051977
-83.26918,61,3.066782
-220.650058,66,3.086832
-31.376291,76,3.115027
-148.112007,79,3.147597
-113.818316,92,3.19079
-249.338706,97,3.243888
-97.456847,63,3.271159
-90.241858,115,3.348398
-154.448508,68,3.381921
-467.062757,117,3.434349
-141.321951,82,3.463205
-202.674377,71,3.491317
-212.190235,103,3.534348
-164.829787,71,3.564832
-396.13864,102,3.614267
-79.156905,71,3.64608
-472.231584,108,3.684237
-188.440589,105,3.729218
-58.467036,81,3.798863
-238.147473,108,3.845513
-126.760212,96,3.881782
-54.425732,139,3.930145
-218.594345,88,3.96752
-150.789118,77,3.989116
-256.003776,103,4.032304
-142.80721,68,4.062088
-212.44768,76,4.085623
-297.938523,81,4.122476
-342.633082,113,4.191003
-372.756451,93,4.233251
-160.424109,111,4.264649
31.290511,138,4.315391
-109.952317,70,4.343902
-346.69546,79,4.382975
-163.379659,75,4.409943
-278.999518,122,4.444662
-279.451009,123,4.475419
-39.219735,87,4.502576
-318.089196,147,4.580782
-132.442335,85,4.610921
-216.439772,120,4.644262
-122.931695,83,4.681072
-328.435463,88,4.713017
-120.699492,93,4.740359
-147.356141,120,4.772885
-85.016313,70,4.799475
-259.009311,75,4.826762
-172.074322,74,4.844738
-131.849281,82,4.870942
-178.848381,90,4.932755
-148.758964,81,4.963078
-93.910016,77,5.006086
-187.886788,68,5.041047
-105.515318,85,5.073872
-41.947174,65,5.097613
-197.095081,87,5.121819
-116.910713,73,5.13998
-187.767807,80,5.169627
-280.436243,93,5.200119
-299.170318,87,5.224178
16.966234,94,5.247897
-134.19288,75,5.278368
-276.680501,107,5.341934
-77.972333,178,5.398102
-106.589833,79,5.418885
-109.396946,63,5.439087
-103.591219,140,5.4894
-141.540546,86,5.516797
-99.963842,59,5.541009
-121.21729,94,5.577625
-419.818354,99,5.608044
-440.839785,102,5.66328
-338.56167,100,5.700361
-104.076131,92,5.737782
-100.866726,69,5.760736
-285.321598,82,5.782359
-477.182642,105,5.809659
-59.750161,117,5.854847
-369.419365,115,5.895077
-171.787108,94,5.927186
-79.076808,98,5.953686
-128.865789,87,5.986488
-382.401892,107,6.05731
-168.856242,81,6.081959
-146.209136,119,6.12529
-109.305896,91,6.175363
-167.830574,80,6.200343
-174.941892,77,6.223682
-108.18908,82,6.250732
-340.004129,86,6.282177
-88.033052,87,6.309142
-193.487511,87,6.330346
-108.00751,114,6.358495
-260.914293,74,6.421755
-270.097662,103,6.471217
-90.896686,65,6.486308
-122.15163,107,6.521721
-155.033058,81,6.545845
-294.956977,79,6.569908
-237.431108,131,6.608924
-121.642158,82,6.63916
-246.6745,96,6.700698
-198.514237,107,6.744728
-521.62915,89,6.76654
-89.950109,69,6.82081
-309.764158,79,6.853595
-308.165446,112,6.889866
-381.842943,90,6.912813
-462.337883,113,6.941696
-167.703924,112,6.983241
-606.836903,96,7.00881
-232.093581,102,7.031889
-79.401141,68,7.048535
-127.705943,69,7.074509
-116.804983,67,7.095265
-104.314538,74,7.142826
-9.235472,116,7.179325
-222.929417,86,7.212259
-75.533445,82,7.242063
-91.85757,81,7.260377
-178.015417,106,7.284814
-317.019544,93,7.315231
-135.05686,113,7.363112
-98.738136,103,7.408777
-72.846783,91,7.462741
-171.616859,80,7.492576
-316.87227,113,7.564535
-206.422563,62,7.589203
-336.991683,76,7.623411
-177.955002,88,7.674169
-271.591201,91,7.720688
-278.841247,104,7.76534
-208.871622,70,7.793614
-97.473724,85,7.831352
-211.667029,82,7.869959
-324.990761,81,7.900403
-301.590903,119,7.928191
-316.374471,72,7.986012
-86.3166,85,8.018335
-285.727364,80,8.0504
-98.984117,83,8.084932
-257.839275,101,8.12761
-126.526427,77,8.150077
-213.836861,81,8.17622
-135.775716,113,8.20816
-201.8741,73,8.232709
-155.134494,79,8.261331
-269.963186,110,8.289261
-349.80594,103,8.349294
-157.054731,111,8.397533
-137.483377,87,8.423063
-97.126911,120,8.454437
-155.64029,99,8.48221
-120.373992,67,8.508198
-139.289765,71,8.53078
-86.890196,70,8.548264
-89.267711,71,8.566182
-81.335759,68,8.593927
-272.452187,91,8.630583
-106.223185,120,8.680193
-454.642652,88,8.748146
-94.065884,61,8.770401
-94.157233,60,8.794022
-119.515627,97,8.820428
-356.526756,114,8.847397
-134.752331,83,8.879101
-446.766276,108,8.912683
-135.263648,77,8.929023
-102.905128,90,8.949631
-491.830245,106,8.98471
-149.013389,95,9.022248
-60.404152,129,9.111823
-57.561719,79,9.134467
-113.586043,70,9.155885
-253.926381,108,9.186852
-207.841852,66,9.205828
-137.337881,84,9.232681
-160.168423,78,9.253991
-119.818144,88,9.287468
-237.368017,100,9.316053
-93.66378,60,9.335816
-9.555322,92,9.361062
-55.986334,127,9.434232
-94.920211,79,9.459728
-316.440785,74,9.478055
-128.908108,104,9.516846
-414.292889,96,9.555828
-101.117602,82,9.591606
-96.972507,77,9.623689
-258.720402,102,9.665464
-170.929652,96,9.720814
-155.130919,59,9.749893
-116.585121,90,9.791931
-95.314559,87,9.826803
-132.338663,80,9.896535
-372.7889,94,9.926265
-140.914372,82,9.957153
-68.883639,64,9.98312
-179.151278,81,10.010412
-219.339563,60,10.033668
-265.566961,92,10.063831
-401.336946,81,10.099984
-122.705696,86,10.129653
-87.602922,79,10.1565
-290.473091,95,10.195042
-210.807479,117,10.289062
-193.336265,68,10.314488
-124.616135,77,10.352623
-359.305571,112,10.387526
-250.946826,67,10.417162
-102.711689,67,10.440041
-290.28994,111,10.473229
-219.958974,58,10.495674
-379.805072,89,10.536422
-98.234479,91,10.560385
-22.148346,102,10.583776
-260.433796,114,10.626136
-141.732524,69,10.688034
-122.957163,77,10.715578
-255.777794,75,10.751168
-88.32402,91,10.784041
-324.37407,115,10.829897
-203.894634,137,10.892209
-379.734461,119,10.929686
-170.822269,122,10.970767
-116.786569,115,11.019906
-132.934062,85,11.041108
-294.830258,100,11.114786
-188.127948,71,11.144757
-157.470198,108,11.183634
-388.219937,74,11.215253
-101.167691,77,11.242815
-179.016518,99,11.280868
-124.390642,84,11.303347
-274.276883,77,11.3351
-87.213187,88,11.355569
-290.068459,80,11.374448
-93.320809,67,11.392318
-75.682515,66,11.415067
-136.063283,83,11.48255
-22.941403,108,11.529382
-164.14319,98,11.572187
-91.387503,78,11.600777
-269.298636,84,11.631259
-351.646836,71,11.654821
-202.233018,132,11.708773
-186.722486,87,11.740222
-109.939388,103,11.77694
-119.167719,72,11.799264
-143.038878,93,11.838837
-105.560638,105,11.903486
-247.81267,81,11.931664
-240.120125,93,11.968521
-131.262727,85,11.99866
-166.697274,81,12.026502
-94.76452,76,12.055613
-174.036841,120,12.104673
-148.766828,68,12.138883
-223.157514,111,12.176185
-215.551678,82,12.199972
-205.564784,71,12.226906
-138.404127,122,12.304021
-260.295313,136,12.348213
-214.219056,117,12.398735
-353.128662,90,12.433496
-176.28717,109,12.471409
-218.758352,93,12.496656
-184.400828,112,12.538169
-81.099711,69,12.572266
-119.573404,104,12.622893
-101.792543,93,12.65377
-429.613662,88,12.730697
-506.625711,101,12.769895
-220.991741,95,12.814551
-166.778798,119,12.862493
-129.834969,116,12.916497
-75.129173,110,12.959037
-92.251353,70,12.985374
-83.882682,64,13.006977
-303.168815,117,13.048976
-127.690463,85,13.078763
-79.389883,71,13.140936
-60.625493,66,13.166277
-86.172069,100,13.205629
-218.608506,106,13.252752
-250.329994,75,13.296216
-93.040704,92,13.330113
-169.929647,116,13.37946
-256.802972,69,13.410217
-380.765734,77,13.441772
-118.66791,101,13.479996
-78.058092,71,13.508872
-182.269121,72,13.538781
-70.483322,60,13.599139
-114.666341,81,13.634875
-240.634694,85,13.673856
-393.131927,103,13.719271
-135.979637,112,13.760868
-99.532281,85,13.790186
-339.542932,109,13.836537
-49.941504,89,13.883256
-244.429149,108,13.932567
-55.06082,76,13.968311
-21.743634,91,14.00952
-310.960407,78,14.117229
-373.509547,104,14.191481
-209.573907,134,14.246758
-261.13542,92,14.28172
-140.132417,106,14.310506
-211.911174,105,14.354112
-192.884566,85,14.377828
-147.915599,85,14.404328
-206.393043,62,14.422515
-75.051124,61,14.443
-320.724308,96,14.472775
-103.12673,106,14.546041
-91.056882,63,14.574902
-117.953406,131,14.627032
-212.406136,115,14.67575
-101.893691,64,14.701271
-150.138065,99,14.72657
-99.894034,64,14.746414
-59.335776,67,14.773692
-324.465652,91,14.79833
-20.473419,80,14.826588
-79.84823,71,14.848098
-140.690953,88,14.947118
-118.915158,67,14.963759
-299.189684,124,14.997414
-254.046465,118,15.034547
-75.894026,123,15.075382
-112.488463,93,15.098489
-228.819578,129,15.149951
-122.224727,64,15.180766
-107.105642,66,15.198462
-290.508368,118,15.230105
-109.636917,138,15.346416
-67.140227,72,15.371521
-2.064736,109,15.411271
-173.608378,87,15.432303
-556.049337,95,15.456451
-108.6719,69,15.47855
-153.809293,67,15.499046
-206.301002,65,15.514907
-133.830216,85,15.537726
-148.260652,108,15.570868
-297.667009,106,15.600075
-146.712494,62,15.615954
-181.763463,92,15.666769
-165.612983,118,15.713374
-90.33076,72,15.732158
-136.662316,74,15.754497
-164.685249,72,15.775658
-250.396306,95,15.808721
-65.894483,63,15.830393
-405.285556,94,15.854464
-222.177702,96,15.881968
-247.425989,67,15.914685
-163.096877,72,15.94554
-69.051575,75,15.971138
-104.891005,87,16.041205
-275.966806,105,16.094333
-370.381559,113,16.122824
-103.830165,69,16.145881
-132.583821,74,16.166724
-149.432311,95,16.207304
-255.59665,107,16.24513
-416.274567,103,16.272968
-66.132409,107,16.301394
-114.26152,76,16.328315
-143.508314,84,16.351224
-99.032852,74,16.409171
-329.807235,100,16.435544
-251.384823,77,16.461954
-163.165195,71,16.490967
-86.871766,60,16.506966
-98.570068,116,16.543372
-142.091972,99,16.585532
-553.437632,96,16.622315
-136.891549,75,16.645007
-297.794236,72,16.665167
-230.830496,78,16.711641
-517.294713,136,16.832302
-132.804937,80,16.858868
-79.416903,58,16.879383
-284.782166,97,16.926465
-343.01751,159,16.977509
-75.727385,80,16.995894
-325.808938,102,17.03159
-160.938196,119,17.070171
-182.387046,70,17.086609
-219.492035,134,17.126136
-318.09973,96,17.193577
-426.122864,122,17.230403
-89.052249,130,17.278397
-360.050946,156,17.323423
-109.290036,80,17.35451
-114.810532,93,17.382674
-339.259755,113,17.422673
-213.326326,92,17.467951
-136.721203,96,17.497797
-133.64734,101,17.557242
-321.738125,101,17.596014
-208.203406,103,17.63141
-267.767074,61,17.648718
-314.020707,104,17.680432
-152.174716,114,17.713156
-247.522059,93,17.742566
-88.521792,86,17.761431
-113.336576,101,17.795047
-257.679269,105,17.820879
-173.913283,98,17.843763
-306.435281,119,17.930608
-92.319985,77,17.963348
-232.014856,112,18.012303
-72.632976,62,18.042148
-291.829515,81,18.065629
-162.169044,95,18.098186
-146.701449,107,18.137523
-20.64917,110,18.178576
-124.712916,104,18.229924
-78.839273,60,18.253065
-234.636227,87,18.316655
-384.90514,85,18.34518
-298.100878,102,18.37874
-109.303206,78,18.415895
-207.522929,103,18.448704
-147.554476,75,18.466705
-145.360992,59,18.481536
-16.353512,113,18.529677
-57.107659,61,18.548715
-314.119397,87,18.571736
-203.536292,82,18.594625
-53.30649,111,18.637402
-147.689173,104,18.706446
-8.040553,87,18.739207
-132.91636,110,18.78346
-88.616058,73,18.814842
-100.062241,63,18.840471
-165.043876,122,18.877614
-302.465375,76,18.898753
9.921175,62,18.917669
1.263481,117,18.972138
-211.82834,99,19.010643
-76.394174,67,19.026017
-198.987712,67,19.086232
-108.540307,96,19.132333
-133.249176,111,19.183802
-94.036416,82,19.226434
-87.256685,86,19.261087
-257.736866,101,19.288937
-117.45278,68,19.309737
-188.525145,134,19.35866
-162.8655,109,19.392133
-133.762402,67,19.421066
-424.993668,86,19.442701
-81.366644,80,19.497599
-306.070157,132,19.546028
-343.688883,89,19.57443
-460.792555,103,19.600068
-132.705461,112,19.637191
-204.315341,97,19.678363
-158.447449,118,19.714785
-296.823939,92,19.740934
-87.010393,68,19.758302
29.314218,94,19.793992
-10.52557,89,19.892293
-229.668597,82,19.991326
-191.743396,87,20.127395
-64.795734,85,20.267163
-505.662425,76,20.417971
-471.482891,89,20.554508
-642.108854,94,20.715975
-630.208943,99,20.890869
-1051.669152,184,21.150095
-735.031648,145,21.373153
-481.930139,116,21.552862
-515.814611,78,21.657548
-573.290266,82,21.756066
-493.770722,75,21.846649
-818.914414,110,21.990425
-828.32458,125,22.168618
-4161.393039,372,22.79546
-507.235261,78,22.903057
-656.649797,110,23.053842
-608.303716,83,23.174594
-899.764719,160,23.385435
-705.714111,157,23.568793
-458.452664,85,23.668554
-785.773823,129,23.83676
-698.34056,115,23.970581
-343.22056,172,24.187666
-356.208102,144,24.346706
-592.963794,107,24.484513
-535.157002,960,27.804117
-276.752916,286,28.707341
-272.497037,376,29.502406
-203.850174,110,29.663007
-263.859776,336,30.368464
-234.467885,237,30.795542
-342.517422,183,31.062191
-362.765794,885,33.987297
-147.946345,232,34.442994
-248.355586,412,35.605668
-140.050209,1000,39.173467
-344.620459,459,40.463645
-455.9184,595,41.865103
-324.489662,588,43.039862
-94.623075,280,43.506376
-143.629817,167,43.70991
-139.12189,277,44.109573
-124.091256,235,44.413705
-182.624688,253,44.806025
-222.470994,314,45.280935
-296.943003,390,45.972381
-126.817395,280,46.410602
-208.796273,226,46.810462
-270.70749,278,47.208227
-105.184643,331,47.707905
-155.181811,283,48.087387
-205.39769,218,48.378517
-291.720716,426,49.102385
-164.484628,160,49.346536
-98.236286,407,50.132139
-231.757049,310,50.567871
-125.039548,523,51.731455
-170.677767,171,51.991459
-282.701431,291,52.464623
-353.181209,477,53.505974
-559.646628,145,53.687607
-363.920234,222,54.00979
-431.464767,775,56.184433
-36.919339,136,56.419084
-454.363227,262,56.886654
-112.439713,586,58.484411
-149.039695,100,58.64602
-373.220697,163,58.865114
-174.41941,187,59.133012
-403.403829,153,59.365708
-184.31303,380,60.242969
-161.557852,1000,64.194664
-152.501389,135,64.350127
-281.649345,179,64.627568
-262.414934,153,64.837554
-314.902307,371,65.598522
-280.388182,350,66.202098
-174.913803,173,66.42422
-134.010505,166,66.668546
-31.695172,285,67.259245
-103.93917,1000,69.906567
-105.295702,173,70.19582
-275.822558,954,72.274715
-119.848901,109,72.468268
-129.238377,1000,76.135412
-216.714167,185,76.435308
-148.620683,170,76.686934
-262.626216,141,76.854617
-42.497031,336,77.393479
-203.246919,167,77.600088
-285.631839,224,77.883568
-103.135277,270,78.30058
-322.774656,114,78.461126
-175.999817,150,78.667338
-58.681885,137,78.827725
-339.693352,148,78.997708
-190.529994,153,79.183854
-339.930341,223,79.470376
-102.272619,161,79.682585
-191.445764,170,79.94118
-213.58013,155,80.152553
-264.55846,153,80.327009
-150.187646,1000,82.757414
-137.338625,269,83.162138
-217.367031,176,83.449857
-156.228427,1000,87.00136
-148.278937,180,87.270281
-266.819119,178,87.52942
-128.210771,1000,91.259669
-17.940995,212,91.54215
-52.205623,296,92.034297
-114.91713,1000,95.513243
-40.469517,305,96.004999
-251.639468,295,96.447971
-137.528685,1000,99.786072
-244.490264,309,100.31147
7.024769,307,100.769276
196.445766,498,101.992256
-135.211712,1000,106.12333
-239.123326,341,106.963794
-119.488098,384,107.901848
-193.711906,470,109.000943
-90.458375,396,109.771661
-314.146199,475,110.526851
-202.660068,1000,113.663831
-134.072506,235,114.022787
-215.425891,1000,117.892649
33.696961,1000,121.396449
-91.967517,1000,123.767598
-224.638813,594,124.899823
-111.619789,1000,128.539606
-145.726153,1000,131.951313
-123.903904,1000,135.314973
-181.943304,1000,139.346649
-257.944909,1000,144.178862
1.659171,1000,148.84479
-174.731964,1000,152.012659
-189.778437,1000,154.117212
-148.611124,1000,156.984813
-270.318074,607,157.927414
-154.668732,1000,159.744944
-219.176442,1000,161.395215
-234.294394,506,161.963874
-165.538232,588,162.541902
-79.836479,1000,164.631002
